file	obj	time_best	time
1000_20_0	882	16.335260	603.8
1000_20_1	879	116.924927	601.428
1000_20_2	843	16.914103	600.33
1000_20_3	868	14.818748	600.86
1000_20_4	881	298.685852	600.893
1000_20_5	945	52.400322	602.341
1000_20_6	872	300.459015	603.534
1000_20_7	855	69.464378	600.611
1000_20_8	937	30.791174	602.428
1000_20_9	932	395.578827	601.19
1000_4_0	905	34.400997	600.001
1000_4_1	918	4.899652	600.425
1000_4_2	944	151.765808	602.907
1000_4_3	949	253.454178	601.457
1000_4_4	921	35.795807	600.091
1000_4_5	960	382.975250	601.82
1000_4_6	872	74.708672	601.297
1000_4_7	913	270.885193	603.57
1000_4_8	921	292.001373	602.909
1000_4_9	935	332.991516	601.774
200_20_0	166	0.167392	600.223
200_20_1	161	0.102238	600.158
200_20_2	173	0.090081	600.114
200_20_3	156	0.141334	600.529
200_20_4	173	0.860863	600.56
200_20_5	175	0.103204	600.619
200_20_6	170	0.095380	600.607
200_20_7	171	4.465629	600.846
200_20_8	144	2.644373	600.459
200_20_9	176	0.166747	601.225
200_4_0	186	8.004813	603.744
200_4_1	184	37.911846	600.955
200_4_2	175	8.593861	600.41
200_4_3	178	6.169652	600.333
200_4_4	182	0.167094	603.15
200_4_5	193	17.766808	600.268
200_4_6	189	3.193311	600.135
200_4_7	183	25.194418	600.213
200_4_8	191	0.244615	600.053
200_4_9	185	10.468638	601.244
400_20_0	336	0.668802	600.654
400_20_1	332	0.502949	602.163
400_20_2	296	0.230769	600.428
400_20_3	341	0.452586	601.363
400_20_4	337	0.367377	601.66
400_20_5	371	4.218866	603.154
400_20_6	350	0.317235	600.747
400_20_7	366	0.599211	600.872
400_20_8	334	0.318966	600.545
400_20_9	352	2.201727	601.14
400_4_0	388	61.427883	601.514
400_4_1	369	44.132812	601.907
400_4_2	366	142.069611	601.823
400_4_3	378	81.527977	600.439
400_4_4	381	14.209067	600.946
400_4_5	376	1.486202	601.97
400_4_6	382	19.900063	603.445
400_4_7	390	352.043030	602.251
400_4_8	376	34.639221	604.668
400_4_9	377	20.125719	601.622
500_20_0	438	0.768944	601.358
500_20_1	410	0.735332	601.13
500_20_2	435	0.687456	600.861
500_20_3	435	0.767985	600.967
500_20_4	438	2.867791	600.759
500_20_5	407	0.312570	600.261
500_20_6	457	9.101733	600.933
500_20_7	428	3.927794	601.088
500_20_8	415	0.352345	602.347
500_20_9	436	2.767357	602.081
500_4_0	493	523.522217	600.055
500_4_1	482	498.714844	600.316
500_4_2	441	29.951519	600.219
500_4_3	489	145.060379	600.705
500_4_4	459	1.058988	600.333
500_4_5	477	514.527588	600.854
500_4_6	432	0.725767	600.944
500_4_7	489	5.725198	603.521
500_4_8	469	12.026441	600.913
500_4_9	472	360.917267	601.116
600_20_0	505	18.340210	600.885
600_20_1	518	14.774992	600.686
600_20_2	491	0.456836	600.052
600_20_3	540	2.544986	601.355
600_20_4	525	5.489110	603.56
600_20_5	553	62.103798	600.55
600_20_6	553	2.947261	602.237
600_20_7	517	0.382375	601.051
600_20_8	536	190.823273	601.382
600_20_9	513	2.314348	601.372
600_4_0	584	68.143578	601.983
600_4_1	552	211.837555	601.638
600_4_2	583	381.201599	600.508
600_4_3	554	105.866417	600.699
600_4_4	555	212.983551	603.253
600_4_5	594	1.156185	601.663
600_4_6	562	14.102856	600.266
600_4_7	573	270.304840	600.416
600_4_8	525	9.498356	600.387
600_4_9	577	266.778198	600.056
800_20_0	702	3.083447	603.606
800_20_1	713	85.970093	601.317
800_20_2	648	0.467522	600.08
800_20_3	734	38.489853	601.316
800_20_4	738	62.931190	601.695
800_20_5	686	142.174988	600.243
800_20_6	683	35.904999	601.35
800_20_7	720	0.364631	600.043
800_20_8	699	1.622962	600.601
800_20_9	731	3.905565	603.216
800_4_0	779	87.119316	600.293
800_4_1	697	70.130432	602.756
800_4_2	707	100.396385	603.148
800_4_3	761	182.778198	601.781
800_4_4	728	75.973473	601.043
800_4_5	781	63.478832	600.528
800_4_6	726	41.973919	605.295
800_4_7	711	212.660294	603.154
800_4_8	776	87.152611	600.183
800_4_9	728	108.904381	600.558
