name,rem,US,time-US,Approx,time-Approx,LS2,time-LS2,LS4,time-LS4,ILP,time-ILP,Adapt-Cmsa,time_best-Adapt-Cmsa
01_Adele,0.4,122,1.44,82,0.0,123,1.35,122,3.08,123,56.8,123,7.54
02_DaftPunk,0.4,153,1.91,101,0.0,155,1.65,155,3.86,122,603.8,155,0.24
03_Fugees,0.4,180,1.69,155,0.0,180,1.13,180,2.35,181,161.55,181,0.41
04_Madonna,0.4,133,2.04,101,0.0,133,1.1,133,3.17,119,604.75,133,0.21
05_Queen,0.4,140,2.19,100,0.0,139,1.88,140,3.92,114,606.74,142,0.49
06_Radiohead,0.4,114,1.33,67,0.0,114,0.7,113,1.55,114,410.9,114,0.06
07_Rihanna,0.4,123,1.61,73,0.0,123,1.85,123,4.38,100,602.64,123,0.04
08_Roberta_Flack,0.4,141,1.72,109,0.0,140,1.08,138,1.81,112,604.24,142,0.12
