file	obj	time
16_2_0	14	600.055
16_2_1	15	600.017
16_2_10	15	600.103
16_2_11	15	600.003
16_2_12	14	600.057
16_2_13	14	600.381
16_2_14	14	600.067
16_2_15	15	600.023
16_2_16	16	600.115
16_2_17	16	600.145
16_2_18	16	600.186
16_2_19	15	600.024
16_2_2	16	600.039
16_2_20	15	600.096
16_2_21	15	600.142
16_2_22	14	600.417
16_2_23	16	600.123
16_2_24	14	600.052
16_2_25	16	600.02
16_2_26	15	600.054
16_2_27	14	600.056
16_2_28	13	600.014
16_2_29	13	600.368
16_2_3	11	600.029
16_2_30	15	600.246
16_2_31	16	600.054
16_2_32	13	600.225
16_2_33	14	600.035
16_2_34	16	600.391
16_2_35	15	600.373
16_2_36	12	600.467
16_2_37	16	600.505
16_2_38	16	600.355
16_2_39	14	600.042
16_2_4	16	600.063
16_2_40	13	600.079
16_2_41	13	600.02
16_2_42	14	600.053
16_2_43	16	600.133
16_2_44	13	600.058
16_2_45	14	600.048
16_2_46	15	600.018
16_2_47	14	600.155
16_2_48	15	600.072
16_2_49	13	600.15
16_2_5	13	600.139
16_2_50	14	600.16
16_2_51	16	600.134
16_2_52	15	600.161
16_2_53	13	600.025
16_2_54	16	600.012
16_2_55	15	600.151
16_2_56	12	600.077
16_2_57	14	600.098
16_2_58	15	600.156
16_2_59	10	600.172
16_2_6	15	600.022
16_2_60	15	600.173
16_2_61	14	600.178
16_2_62	16	600.085
16_2_63	15	600.205
16_2_64	16	600.126
16_2_65	16	600.022
16_2_66	14	600.178
16_2_67	14	600.013
16_2_68	15	600.071
16_2_69	16	600.064
16_2_7	13	600.014
16_2_70	16	600.003
16_2_71	12	600.07
16_2_72	14	600.042
16_2_73	9	600.014
16_2_74	15	600.058
16_2_75	13	600.074
16_2_76	15	600.032
16_2_77	13	600.068
16_2_78	14	600.054
16_2_79	16	600.068
16_2_8	14	600.08
16_2_80	16	600.077
16_2_81	14	600.055
16_2_82	16	600.088
16_2_83	16	600.038
16_2_84	15	600.001
16_2_85	14	600.003
16_2_86	11	600.081
16_2_87	14	600.049
16_2_88	16	600.01
16_2_89	13	600.071
16_2_9	16	600.014
16_2_90	14	600.077
16_2_91	14	600.115
16_2_92	13	600.032
16_2_93	16	600.141
16_2_94	15	600.085
16_2_95	13	600.01
16_2_96	13	600.035
16_2_97	16	600.126
16_2_98	10	600.098
16_2_99	13	600.108
16_4_0	14	600.054
16_4_1	14	600.092
16_4_10	13	600.082
16_4_11	13	600.091
16_4_12	14	600.076
16_4_13	12	600.023
16_4_14	14	600.093
16_4_15	12	600.046
16_4_16	13	600.106
16_4_17	14	600.066
16_4_18	15	600.092
16_4_19	12	600.046
16_4_2	13	600.069
16_4_20	12	600.092
16_4_21	15	600.167
