sigma,n,len_B,k,Rand-Sample,Approx,LS2,LS4,ILP,Adapt-Cmsa
40,80,20,63,64,63,64,64,64,64
8,32,16,15,23,22,23,23,23,23
24,48,20,24,32,32,32,32,32,32
2,16,8,9,15,15,15,15,15,15
8,32,23,10,27,27,27,27,27,27
8,64,39,27,52,53,53,53,54,54
6,48,36,13,39,40,39,38,40,40
8,32,10,19,26,26,26,26,26,26
12,48,20,27,30,30,30,30,30,30
8,32,19,13,26,27,26,26,27,27
12,48,18,21,33,32,33,33,33,33
16,64,27,44,54,55,55,54,55,55
32,64,24,35,45,45,45,45,45,45
16,64,26,33,51,52,52,52,52,52
4,32,15,15,28,28,28,28,28,28
16,32,6,25,24,24,24,24,24,24
6,48,21,33,44,45,44,44,45,45
2,16,5,13,15,15,15,15,15,15
6,48,30,20,42,43,43,43,43,43
10,80,22,53,64,66,65,65,66,66
6,48,20,26,39,38,39,39,39,39
10,80,23,56,71,72,73,72,73,73
6,48,24,21,39,40,40,40,40,40
6,48,20,26,39,39,40,38,40,40
4,32,18,10,25,25,25,24,25,25
20,80,36,49,69,71,71,71,71,71
16,64,43,22,45,43,45,46,45,45
16,32,19,19,27,27,27,27,27,27
8,64,37,28,52,53,53,52,53,53
8,32,17,12,23,23,22,23,23,23
16,64,21,42,52,52,52,52,53,53
24,48,15,27,32,30,31,30,32,32
8,64,30,29,51,54,53,54,54,54
6,48,22,31,43,44,43,43,44,44
8,16,6,10,13,13,13,13,13,13
40,80,45,24,52,53,53,53,53,53
20,80,50,36,65,65,66,66,66,66
20,80,43,31,57,58,58,58,59,59
12,48,20,23,39,39,39,38,39,39
8,32,14,22,29,29,29,29,29,29
4,16,10,9,15,15,15,15,15,15
24,48,28,22,36,36,36,36,36,36
12,48,29,13,37,37,37,36,37,37
24,48,24,21,33,33,32,33,33,33
4,16,6,7,12,12,12,12,12,12
12,48,19,26,40,40,40,40,40,40
40,80,28,47,61,61,61,61,61,61
16,64,24,41,53,54,54,54,54,54
4,16,6,12,16,16,16,16,16,16
12,48,23,31,39,38,39,39,39,39
8,16,10,7,12,12,12,12,12,12
4,16,9,4,12,12,12,12,12,12
6,48,13,35,43,43,43,43,43,43
20,80,27,42,57,56,56,55,57,57
8,32,10,23,28,28,28,27,28,28
16,32,6,22,23,23,23,23,23,23
16,32,7,18,21,21,21,21,21,21
12,48,27,23,39,39,39,39,39,39
10,80,36,44,65,65,66,65,66,66
32,64,30,37,53,53,53,53,53,53
16,32,10,19,21,21,21,21,21,21
12,48,25,24,38,38,38,38,38,38
8,16,7,12,14,14,14,14,14,14
32,64,12,40,43,43,43,43,43,43
32,64,28,40,53,53,53,52,53,53
24,48,19,27,33,33,33,33,33,33
6,48,37,15,40,40,41,40,41,41
8,64,30,31,52,54,54,52,54,54
2,16,6,8,13,13,13,13,13,13
10,80,38,34,60,61,61,61,61,61
20,80,43,37,65,65,65,63,65,65
8,16,11,7,13,13,13,13,13,13
2,16,8,7,13,13,13,13,13,13
24,48,29,23,36,36,36,35,36,36
4,32,10,22,30,29,30,30,30,30
32,64,25,38,47,47,47,46,47,47
12,48,17,33,41,40,40,41,41,41
10,80,42,31,58,59,58,56,59,59
4,16,3,12,14,14,14,14,14,14
32,64,26,33,48,48,48,48,48,48
4,32,20,15,29,29,29,29,29,29
32,64,29,33,47,46,47,47,47,47
32,64,34,26,47,47,47,46,47,47
24,48,17,32,34,34,34,34,34,34
16,64,23,34,46,47,47,46,47,47
24,48,20,37,43,42,42,42,43,43
2,16,6,11,16,16,16,16,16,16
24,48,21,30,36,36,36,36,36,36
12,48,20,26,40,41,41,41,41,41
16,64,8,58,55,55,55,55,55,55
40,80,26,48,55,55,55,55,55,55
6,48,25,23,39,39,39,38,40,40
8,32,10,20,25,23,25,25,25,25
4,16,10,6,14,14,14,14,14,14
8,16,7,10,14,14,14,14,14,14
12,48,30,16,37,37,37,37,38,38
8,32,9,23,26,25,26,26,26,26
8,16,6,11,15,15,15,15,15,15
8,16,8,7,11,11,11,11,11,11
4,16,12,7,15,15,15,15,15,15
12,48,24,26,37,36,36,37,37,37
4,32,18,12,26,27,27,27,27,27
40,80,34,48,62,61,62,62,62,62
8,32,14,18,27,27,27,26,27,27
4,16,5,11,15,15,15,14,15,15
24,48,29,18,34,34,34,34,34,34
6,48,30,13,36,37,37,37,37,37
4,32,13,17,27,27,26,27,27,27
4,32,15,11,24,24,24,24,24,24
8,64,24,38,55,55,55,56,56,56
20,80,41,42,60,63,63,62,63,62
8,64,44,17,49,51,51,50,51,51
8,64,20,44,57,57,56,56,57,57
24,48,14,32,36,36,35,35,36,36
4,16,6,10,14,13,14,14,14,14
24,48,24,25,37,36,35,37,37,37
16,64,29,45,55,56,56,56,56,56
20,80,43,31,57,57,57,56,57,57
16,32,22,13,25,25,25,25,25,25
4,16,9,8,15,15,15,15,15,15
8,32,12,26,31,31,31,31,31,31
16,32,8,23,24,24,23,23,24,24
8,32,13,21,27,27,27,27,27,27
4,16,6,8,11,11,11,11,11,11
16,64,45,23,51,53,53,53,53,53
16,32,13,19,25,25,25,25,25,25
10,80,45,31,59,64,63,63,64,64
12,48,18,20,31,31,31,31,31,31
16,64,36,32,51,51,51,51,51,51
20,80,21,62,69,69,69,69,69,69
24,48,29,20,32,31,32,32,32,32
8,32,10,18,25,25,24,24,25,25
4,16,6,11,14,14,14,14,14,14
4,16,5,11,13,13,13,13,13,13
6,48,27,29,45,46,44,44,46,46
16,32,24,11,22,22,22,22,22,22
8,32,11,23,28,27,27,27,28,28
8,64,49,15,48,49,49,48,50,50
20,80,34,49,65,65,66,65,66,65
4,16,9,8,15,15,15,15,15,15
8,16,9,8,14,14,13,14,14,14
8,16,6,9,13,13,13,13,13,13
12,48,30,14,37,37,37,37,37,36
4,16,9,8,12,12,12,12,12,12
4,32,16,18,30,30,29,29,30,30
6,48,32,18,42,43,43,43,43,43
8,32,12,16,23,23,23,23,23,23
16,64,26,29,43,43,43,42,43,43
12,48,23,29,44,44,44,44,44,44
16,64,46,25,53,53,54,53,55,55
8,32,12,21,29,29,29,29,29,29
32,64,40,27,51,51,50,51,51,51
2,16,8,8,16,16,16,16,16,16
16,32,13,13,22,22,22,22,22,22
