name,rem,US,time-US,Approx,time-Approx,LS2,time-LS2,LS4,time-LS4,ILP,time-ILP,Adapt-Cmsa,time_best-Adapt-Cmsa
01_Adele,0.6,113,1.22,73,0.0,113,0.99,113,2.44,113,13.43,113,5.95
02_DaftPunk,0.6,134,1.62,82,0.0,134,1.26,134,3.22,134,132.78,134,0.31
03_Fugees,0.6,144,1.33,98,0.0,143,0.73,144,1.61,144,47.76,144,0.05
04_Madonna,0.6,117,1.57,83,0.0,117,0.9,116,1.94,117,63.6,117,0.12
05_Queen,0.6,122,1.72,80,0.0,120,1.4,121,3.3,122,198.48,122,0.08
06_Radiohead,0.6,103,1.12,60,0.0,102,0.56,103,1.23,103,19.76,103,0.06
07_Rihanna,0.6,108,1.37,56,0.0,108,1.52,108,3.59,108,106.15,108,0.02
08_Roberta_Flack,0.6,124,1.36,92,0.0,123,0.76,120,1.33,124,174.27,124,3.49
