name,rem,US,time-US,Approx,time-Approx,LS2,time-LS2,LS4,time-LS4,ILP,time-ILP,Adapt-Cmsa,time_best-Adapt-Cmsa
01_Adele,0.2,131,1.79,90,0.0,132,1.58,132,3.84,130,601.64,132,5.86
02_DaftPunk,0.2,165,2.21,113,0.0,169,1.93,169,4.43,138,606.6,168,476.92
03_Fugees,0.2,211,1.99,190,0.0,217,1.38,214,2.91,133,605.02,218,0.42
04_Madonna,0.2,148,2.22,115,0.0,147,1.32,147,3.21,114,608.23,148,1.15
05_Queen,0.2,151,2.34,109,0.0,151,2.21,150,4.76,0,610.99,151,0.85
06_Radiohead,0.2,125,1.68,78,0.0,126,0.87,125,1.76,111,604.33,126,0.12
07_Rihanna,0.2,135,2.07,87,0.0,135,2.33,135,5.77,116,604.98,135,2.88
08_Roberta_Flack,0.2,153,1.9,119,0.0,151,1.15,149,2.37,134,606.59,153,0.08
