name,rem,US,time-US,Approx,time-Approx,LS2,time-LS2,LS4,time-LS4,ILP,time-ILP,Adapt-Cmsa,time_best-Adapt-Cmsa
01_Adele,0.0,136,2.1,93,0.0,137,1.92,137,4.11,108,602.66,137,0.23
02_DaftPunk,0.0,179,2.51,130,0.0,185,2.21,184,5.21,127,610.42,185,15.87
03_Fugees,0.0,240,2.28,254,0.0,248,1.82,247,3.83,124,607.42,254,0.54
04_Madonna,0.0,158,2.57,127,0.0,157,1.67,157,3.28,0,619.74,159,3.93
05_Queen,0.0,162,2.67,126,0.0,162,2.48,162,5.08,0,778.99,162,0.04
06_Radiohead,0.0,134,2.02,90,0.0,134,0.99,134,2.1,119,606.42,134,0.13
07_Rihanna,0.0,146,2.18,98,0.0,146,2.88,146,7.29,118,606.53,146,0.05
08_Roberta_Flack,0.0,164,2.2,130,0.0,162,1.39,161,3.07,125,609.66,165,0.16
